BACKPROPAGATION LEARNING ALGORITHM
Enter the number of input units:
2
Enter the number of hidden units:
2
Enter the number of output units:
1
Enter the learning rate:
0.9
Enter the maximum number of training epochs:
10000
Enter the SSE stopping criterion:
0.001
Enter the training set file name:
/home/noelle/Classes/2012-2013/Fall/CSE175/Programs/PA4/TestCases/Linux/xor.dat
Enter the testing set file name:
/home/noelle/Classes/2012-2013/Fall/CSE175/Programs/PA4/TestCases/Linux/xor.dat
Epoch 2060:  SSE = 0.0033608332329697205.
Epoch 2070:  SSE = 0.0033241813362048043.
Epoch 2080:  SSE = 0.0032882899567573333.
Epoch 2090:  SSE = 0.0032531361222097434.
Epoch 2100:  SSE = 0.0032186977647434612.
Epoch 2110:  SSE = 0.0031849536774407007.
Epoch 2120:  SSE = 0.003151883473077769.
Epoch 2130:  SSE = 0.0031194675452467886.
Epoch 2140:  SSE = 0.003087687031654453.
Epoch 2150:  SSE = 0.0030565237794578514.
Epoch 2160:  SSE = 0.003025960312507224.
Epoch 2170:  SSE = 0.002995979800375117.
Epoch 2180:  SSE = 0.0029665660290598937.
Epoch 2190:  SSE = 0.002937703373259463.
Epoch 2200:  SSE = 0.0029093767701184534.
Epoch 2210:  SSE = 0.0028815716943588238.
Epoch 2220:  SSE = 0.002854274134709847.
Epoch 2230:  SSE = 0.0028274705715596025.
Epoch 2240:  SSE = 0.0028011479557549725.
Epoch 2250:  SSE = 0.0027752936884822706.
Epoch 2260:  SSE = 0.0027498956021650882.
Epoch 2270:  SSE = 0.002724941942320219.
Epoch 2280:  SSE = 0.002700421350316221.
Epoch 2290:  SSE = 0.00267632284698314.
Epoch 2300:  SSE = 0.002652635817024728.
Epoch 2310:  SSE = 0.002629349994188222.
Epoch 2320:  SSE = 0.002606455447148976.
Epoch 2330:  SSE = 0.002583942566070591.
Epoch 2340:  SSE = 0.002561802049802989.
Epoch 2350:  SSE = 0.002540024893683799.
Epoch 2360:  SSE = 0.0025186023779101984.
Epoch 2370:  SSE = 0.002497526056450444.
Epoch 2380:  SSE = 0.002476787746466319.
Epoch 2390:  SSE = 0.0024563795182193536.
Epoch 2400:  SSE = 0.002436293685435252.
Epoch 2410:  SSE = 0.0024165227961025913.
Epoch 2420:  SSE = 0.002397059623683361.
Epoch 2430:  SSE = 0.002377897158713823.
Epoch 2440:  SSE = 0.002359028600776041.
Epoch 2450:  SSE = 0.0023404473508209437.
Epoch 2460:  SSE = 0.0023221470038252987.
Epoch 2470:  SSE = 0.0023041213417659303.
Epoch 2480:  SSE = 0.0022863643268951966.
Epoch 2490:  SSE = 0.0022688700953030034.
Epoch 2500:  SSE = 0.0022516329507510906.
Epoch 2510:  SSE = 0.002234647358766581.
Epoch 2520:  SSE = 0.0022179079409819307.
Epoch 2530:  SSE = 0.002201409469709569.
Epoch 2540:  SSE = 0.002185146862740064.
Epoch 2550:  SSE = 0.002169115178352999.
Epoch 2560:  SSE = 0.0021533096105307817.
Epoch 2570:  SSE = 0.0021377254843655724.
Epoch 2580:  SSE = 0.0021223582516505988.
Epoch 2590:  SSE = 0.0021072034866471685.
Epoch 2600:  SSE = 0.002092256882019321.
Epoch 2610:  SSE = 0.0020775142449285205.
Epoch 2620:  SSE = 0.0020629714932810556.
Epoch 2630:  SSE = 0.002048624652121278.
Epoch 2640:  SSE = 0.0020344698501640916.
Epoch 2650:  SSE = 0.002020503316460636.
Epoch 2660:  SSE = 0.0020067213771910036.
Epoch 2670:  SSE = 0.0019931204525787186.
Epoch 2680:  SSE = 0.0019796970539213057.
Epoch 2690:  SSE = 0.0019664477807322315.
Epoch 2700:  SSE = 0.0019533693179891237.
Epoch 2710:  SSE = 0.0019404584334839162.
Epoch 2720:  SSE = 0.0019277119752703314.
Epoch 2730:  SSE = 0.0019151268692049164.
Epoch 2740:  SSE = 0.0019027001165772177.
Epoch 2750:  SSE = 0.0018904287918257929.
Epoch 2760:  SSE = 0.0018783100403362164.
Epoch 2770:  SSE = 0.0018663410763177428.
Epoch 2780:  SSE = 0.0018545191807553866.
Epoch 2790:  SSE = 0.0018428416994343468.
Epoch 2800:  SSE = 0.0018313060410337669.
Epoch 2810:  SSE = 0.0018199096752871044.
Epoch 2820:  SSE = 0.0018086501312063363.
Epoch 2830:  SSE = 0.0017975249953674343.
Epoch 2840:  SSE = 0.001786531910254848.
Epoch 2850:  SSE = 0.001775668572662302.
Epoch 2860:  SSE = 0.0017649327321481412.
Epoch 2870:  SSE = 0.0017543221895426236.
Epoch 2880:  SSE = 0.001743834795505482.
Epoch 2890:  SSE = 0.0017334684491316463.
Epoch 2900:  SSE = 0.001723221096603218.
Epoch 2910:  SSE = 0.0017130907298861557.
